,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temperature,Wind Speed
338,morro bay,90,EC,1604712661,84,-2.63,-80.33,69.89,12.86
339,rafai,98,CF,1604712662,95,4.95,23.92,69.46,1.68
340,raudeberg,100,NO,1604712662,89,61.99,5.14,50.0,28.63
341,murgab,75,TM,1604712662,37,37.5,61.97,50.0,6.93
342,belaya gora,100,UA,1604712662,91,49.03,25.77,46.99,8.99
343,saint-pierre,0,RE,1604712662,68,-21.34,55.48,68.0,6.93
344,chute-aux-outardes,90,CA,1604712662,93,49.12,-68.4,37.4,2.24
345,linjiang,10,CN,1604712662,51,41.81,126.91,49.15,5.97
346,namibe,77,AO,1604712663,63,-15.2,12.15,70.7,9.6
347,chalons-en-champagne,0,FR,1604712663,87,48.95,4.37,46.4,4.7
348,soyo,100,AO,1604712663,87,-6.13,12.37,77.56,6.08
349,marawi,100,PH,1604712663,86,8.0,124.29,80.01,10.0
350,byron bay,1,US,1604712663,55,44.03,-92.65,64.4,10.29
351,axim,100,GH,1604712664,89,4.87,-2.24,78.69,9.55
352,paamiut,100,GL,1604712664,92,61.99,-49.67,33.01,23.6
353,port lincoln,3,CD,1604712655,68,-7.03,29.76,73.83,5.5
354,vadnagar,0,IN,1604712664,38,23.78,72.63,68.63,6.53
355,tambura,99,SS,1604712664,92,5.6,27.47,69.85,1.57
356,rocha,98,UY,1604712664,95,-34.48,-54.33,57.13,5.03
357,avera,90,US,1604712665,82,33.19,-82.53,68.0,6.93
358,concepcion de buenos aires,0,CL,1604712508,76,-36.83,-73.05,55.4,13.87
359,vaitape,5,PF,1604712665,79,-16.52,-151.75,80.37,15.77
360,rush,20,IE,1604712666,93,53.52,-6.09,42.01,5.82
361,luau,73,AO,1604712666,97,-10.71,22.22,64.53,2.64
362,itarema,97,BR,1604712666,78,-2.92,-39.92,80.01,14.47
363,pacific grove,1,US,1604712666,42,38.48,-90.74,66.2,8.05
364,rio grande,20,GR,1604712667,62,38.3,21.78,57.2,4.7
365,malanje,100,AO,1604712667,99,-9.54,16.34,63.9,1.59
366,khani,75,GE,1604712667,87,41.96,42.96,53.6,4.7
367,fukue,75,JP,1604712667,93,32.69,128.84,66.2,13.87
368,buraydah,0,SA,1604712668,30,26.33,43.98,69.8,5.82
369,yambio,100,SS,1604712668,96,4.57,28.4,68.04,2.37
370,labytnangi,100,RU,1604712668,98,66.66,66.42,23.86,4.94
371,lagoa,40,PT,1604712669,67,39.05,-27.98,58.15,28.14
372,verkhoyansk,77,RU,1604712669,83,67.54,133.38,-21.98,1.68
373,astoria,20,US,1604712669,81,46.19,-123.83,46.99,4.7
374,ravar,70,IR,1604712669,32,31.27,56.81,56.61,6.91
375,kaseda,75,JP,1604712670,82,31.42,130.32,68.0,2.24
376,kutum,0,SD,1604712670,33,14.2,24.67,60.93,7.11
377,estevan,75,CA,1604712530,74,49.13,-102.98,37.4,10.29
378,kibala,0,TD,1604712670,94,9.11,18.35,69.8,2.66
379,taoudenni,78,ML,1604712670,19,22.68,-3.98,78.91,7.67
380,yakima,75,US,1604712561,43,46.47,-120.67,51.8,4.7
381,ossora,97,RU,1604712671,84,59.24,163.07,32.22,3.02
382,santa rosa,96,PH,1604712656,73,17.49,120.43,83.14,4.59
383,donskoye,73,RU,1604712671,92,45.46,41.97,42.98,24.61
